,Company,Brand,Appliance,Energy Consumption,SKU
33,Mondragon Corporation,Brandt,Dish Washer,475W,SKU-12072
34,Arçelik A.Ş. / Koç Holding,Grundig,Washer,0,SKU-76328
35,Dayou Winia / Dayou Group,PRAUD,Freezer,0,SKU-24975
36,Candy Group,Candy,Freezer,400W,SKU-66793
37,Whirlpool Corporation,Admiral,Refrigerator,400W,SKU-95879
38,Meneghetti S.p.A,Fulgor Milano,Toaster,415,SKU-32047
39,Asko Appliances AB / Gorenje,Asko,Refrigerator,300W,SKU-17550
40,GlenDimplex,Valor,Dryer,,SKU-39704
41,Dayou Winia / Dayou Group,PRAUD,Stove,,SKU-36328
42,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Stove,250W,SKU-25060
43,AB Electrolux / Investor AB,White-Westinghouse,Freezer,0,SKU-20548
44,Whirlpool Corporation,Indesit Company,Kettle,425W,SKU-2538
45,Smeg Group S.p.A,Bertazzoni,Kettle,0,SKU-45472
46,Arçelik A.Ş. / Koç Holdin,Beko,Washer,,SKU-93903
47,GlenDimplex,Stoves,Toaster,120W,SKU-68578
48,Mondragon Corporation,Brandt,Stove,,SKU-75812
49,AB Electrolux / Investor AB,Somela,Dryer,,SKU-9034
50,GlenDimplex,Faber,Refrigerator,,SKU-61504
51,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Kettle,425W,SKU-94733
52,The Middleby Corporation,La Cornue,Toaster,425W,33853
53,Gorenje,Körting,Kettle,250W,SKU-23056
54,AB Electrolux / Investor AB,Simpson,Washer,0,SKU-83622
55,AB Electrolux / Investor AB,Parkinson Cowan,Refrigerator,500W,SKU-87717
56,Gorenje,Etna,Toaster,200,SKU-81293
57,AB Electrolux / Investor AB,Tappan,Freezer,300W,SKU-78698
58,Whirlpool Corporation,KitchenAid,Washer,,SKU-85838
59,AB Electrolux / Investor AB,Tappan,Freezer,400W,SKU--10384
60,"Sub-Zero Group, Inc",Wolf,Washer,0,SKU-73383
61,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Kettle,0,SKU-20545
62,Whirlpool Corporation,Indesit Company,Washer,425W,SKU-1442
63,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Stove,,SKU-34495
64,The Meyer Corporatio,Hestan,Kettle,400W,SKU-62603
65,Arçelik A.Ş. / Koç Holding,Dawlance,Kettle,475W,SKU-65940
66,AB Electrolux / Investor AB,Philco,Dryer,,SKU-76211
67,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Dryer,415,SKU-76929
68,Miele & Cie. KG,Miele,Freezer,400W,SKU-58151
69,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Toaster,0,SKU24022
70,Gorenje,Pelgrim,Washer,0,SKU-49675
71,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Dish Washer,0,SKU-4828
72,AB Electrolux / Investor AB,Castor,Toaster,,SKU-45178
73,AB Electrolux / Investor A,Frigidaire,Toaster,325W,SKU-95985
74,"Sub-Zero Group, Inc",Wolf,Dryer,0,SKU-93054
75,Montpellier Domestic Appliances Ltd,Montpellier,Stove,0,SKU-93874
76,Fhiaba S.r.l,Fhibia,Freezer,475W,SKU80776
77,Whirlpool Corporation,Acros,Dryer,,SKU-49554
78,Gorenje,Mora,Toaster,400W,SKU-75919
79,Whirlpool Corporation,Jenn-Air,Refrigerator,,SKU-89333
80,Whirlpool Corporation,Privileg,Toaster,0,SKU-47537
81,Mondragon Corporation,Brandt,Freezer,,SKU-98573
82,AB Electrolux / Investor AB,Kelvinator,Stove,500W,SKU-40979
83,AB Electrolux / Investor AB,Electrolux,Dryer,0,SKU-2411
84,Gorenje,Etna,Dish Washer,200,SKU-70586
85,AB Electrolux / Investor AB,Gibson,Washer,300W,SKU-26142
86,GlenDimplex,Dimplex,Toaster,,SKU-1795
87,Arçelik A.Ş. / Koç Holding,Arctic,Dryer,0,SKU-17748
88,Gorenje,Körting,Kettle,200,SKU-5042
89,Mondragon Corporation,Fagor,Dryer,325W,SKU-95283
90,GlenDimplex,New World,Toaster,475W,SKU-3236
91,AB Electrolux / Investor AB,Elektro Helios,Refrigerator,300W,SKU-28204
92,AB Electrolux / Investor AB,Dometic,Kettle,325W,SKU-33380
93,AB Electrolux / Investor AB,Olympic Group,Washer,0,SKU-64052
94,Montpellier Domestic Appliances Ltd,Montpellier,Dish Washer,0,SKU-62207
95,Home Retail Group plc / J Sainsbury plc,Bush,Kettle,,SKU-23396
96,Gorenje,Gorenje,Dish Washer,500W,SKU-22659
97,Viking Range Corporation / The Middleby Corporation,Viking,Freezer,475W,SKU-6856
98,"Sub-Zero Group, Inc",Sub-Zero,Washer,120W,SKU-37556
99,GlenDimplex,Nobo,Dryer,500W,SKU-35700
100,AB Electrolux / Investor AB,Castor,Kettle,0,SKU-18612
101,"Sub-Zero Group, Inc",Wolf,Dryer,0,SKU-5175
102,Fhiaba S.r.l,Fhibia,Kettle,0,SKU-47276
103,AB Electrolux / Investor AB,Prosdócimo,Freezer,0,SKU-24006
104,AB Electrolux / Investor AB,Somela,Kettle,,SKU-4805
105,AB Electrolux / Investor AB,Castor,Washer,200,SKU-99509
106,Whirlpool Corporation,Indesit Company,Freezer,,SKU-45227
107,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Dryer,400W,SKU35757
108,AB Electrolux / Investor AB,Parkinson Cowan,Kettle,0,SKU-27297
109,Arçelik A.Ş. / Koç Holding,Flavel,Kettle,400W,SKU-57677
110,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Toaster,250W,SKU-71547
111,AB Electrolux / Investor AB,FAure,Refrigerator,,SKU-84748
112,Whirlpool Corporatio,Ariston,Refrigerator,250W,SKU-94572
113,Gorenje,Mora,Refrigerator,200,SKU-44853
114,Asko Appliances AB / Gorenje,Asko,Stove,,SKU-63541
115,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Dish Washer,,SKU-60336
116,Candy Group,Süsler,Freezer,500W,SKU-29738
117,Whirlpool Corporation,Jenn-Air,Freezer,400W,SKU-19874
118,AB Electrolux / Investor AB,Simpson,Dryer,,SKU-19601
119,AB Electrolux / Investor AB,Voss,Refrigerator,0,SKU-5646
120,Mondragon Corporation,Fagor,Dish Washer,250W,SKU-49717
121,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Washer,425W,SKU-27166
122,Whirlpool Corporation,Whirlpool,Dryer,0,SKU-30731
123,GlenDimplex,Faber,Stove,,SKU-47466
124,AB Electrolux / Investor AB,White-Westinghouse,Dish Washer,200,SKU-1065
125,"Sub-Zero Group, Inc",Wolf,Kettle,425W,SKU-65284
126,Whirlpool Corporation,Gladiator GarageWorks,Stove,0,SKU-29850
127,Asko Appliances AB / Gorenje,Asko,Dryer,0,SKU-74917
128,AB Electrolux / Investor AB,White-Westinghouse,Dish Washer,400W,SKU-24745
129,"Sub-Zero Group, Inc",Wolf,Stove,,SKU-11525
130,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Toaster,,SKU-44756
131,Gorenj,Atag,Dryer,415,SKU-89123
132,Whirlpool Corporation,Inglis,Kettle,475W,SKU-34939
133,Candy Group,Zerowatt,Washer,475W,SKU-68703
134,Arçelik A.Ş. / Koç Holding,Dawlance,Washer,,SKU-14181
135,"Indesit Company, Whirlpool Corporation",Stinol,Freezer,475W,SKU-27200
136,Arçelik A.Ş. / Koç Holding,Grundig,Dryer,,SKU-81570
137,Meneghetti S.p.A,Fulgor Milano,Freezer,475W,SKU-59234
138,AB Electrolux / Investor AB,Electrolux ICON,Washer,475W,SKU-34861
139,AB Electrolux / Investor AB,Mademsa,Stove,,SKU-30397
140,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Washer,250W,SKU-35435
141,Miele & Cie. KG,Miele,Kettle,325W,SKU-11451
142,Smeg Group S.p.A,Smeg,Freezer,,SKU-39932
143,Whirlpool Corporation,Privileg,Dryer,425W,SKU-70155
144,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Stove,300W,SKU-30686
145,AB Electrolux / Investor AB,Castor,Refrigerator,415,SKU-28103
146,IKEA,IKEA,Dryer,250W,SKU-28747
147,Arçelik A.Ş. / Koç Holding,Elektra Bregenz,Dryer,,SKU-59692
148,Viking Range Corporation / The Middleby Corporation,Viking,Stove,,SKU-75755
149,The Middleby Corporation,La Cornue,Stove,500W,SKU-39885
150,Whirlpool Corporation,Polar,Toaster,,SKU-52424
151,"Indesit Company, Whirlpool Corporation",Termogamma,Toaster,120W,SKU-49988
152,GlenDimplex,New World,Kettle,400W,SKU-74335
153,Amica Wronki S.A,Amica,Toaster,,SKU-5298
154,Whirlpool Corporation,Whirlpool,Stove,325W,SKU-68558
155,Candy Group,Süsler,Dish Washer,,SKU-33041
156,AB Electrolux / Investor AB,Corberó,Dryer,400W,SKU-45771
157,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Refrigerator,325W,SKU-38356
158,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Dryer,0,SKU-56425
159,AB Electrolux / Investor AB,Simpson,Dish Washer,325W,SKU-12206
160,John Lewis Partnership,John Lewis,Freezer,0,SKU-95149
161,AB Electrolux / Investor AB,Atlas,Refrigerator,,SKU-28362
162,Mondragon Corporation,Brandt,Refrigerator,400W,SKU-74848
163,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Kettle,415,SKU-70512
164,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Stove,,SKU-64032
165,Arçelik A.Ş. / Koç Holding,Dawlance,Freezer,500W,SKU-5035
166,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Kettle,120W,SKU-99602
167,IKEA,IKEA,Dryer,,SKU-82830
168,GlenDimplex,Britannia,Washer,,SKU-9763
169,IKEA,IKEA,Dish Washer,425W,SKU-59878
170,Whirlpool Corporation,Gladiator GarageWorks,Kettle,0,SKU-46691
171,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Kettle,,SKU-70129
172,GlenDimple,Belling,Freezer,325W,SKU-70531
173,Candy Group,Zerowatt,Freezer,,SKU-30603
174,Whirlpool Corporation,Maytag,Kettle,325W,SKU-72243
175,AB Electrolux / Investor AB,Westinghouse,Freezer,0,SKU-43713
176,Whirlpool Corporation,Diqua,Freezer,,SKU-79708
177,Whirlpool Corporation,Amana,Freezer,0,SKU-15604
178,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Refrigerator,500W,SKU-25495
179,AB Electrolux / Investor AB,Philco,Freezer,,SKU-93224
180,Candy Group,Hoover,Toaster,200,56742
181,Whirlpool Corporation,Admiral,Dish Washer,,SKU-85946
182,GlenDimplex,Campo,Dryer,120W,SKU-27403
183,Candy Group,Hoover,Freezer,120W,SKU-36923
184,Whirlpool Corporation,Brastemp,Stove,120W,SKU-19254
185,AB Electrolux / Investor AB,Elektro Helios,Kettle,200,SKU-88490
186,AB Electrolux / Investor AB,Elektro Helios,Stove,,SKU-72636
187,Gorenje,Gorenje,Washer,475W,SKU-9428
188,GlenDimplex,Stoves,Dryer,,SKU-50047
189,Mondragon Corporation,Mastercook,Toaster,475W,SKU-9884
190,Whirlpool Corporation,Inglis,Freezer,,SKU-32759
191,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Refrigerator,0,SKU-63704
192,Currys / Dixons Carphone plc,Logik,Dryer,425W,SKU-13659
193,AB Electrolux / Investor AB,FAure,Toaster,,SKU-75420
194,Mondragon Corporation,Mastercook,Refrigerator,0,SKU-12581
195,Home Retail Group plc / J Sainsbury plc,Bush,Toaster,400W,SKU-59372
196,AB Electrolux / Investor AB,Kelvinator,Dryer,,SKU-92913
197,Whirlpool Corporation,Jenn-Air,Washer,,SKU-28981
198,GlenDimplex,Creda,Freezer,,SKU-14832
199,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Washer,415,SKU-30649
200,Verzinkerei Zug LtdV-ZUG Ltd,V-ZUG,Refrigerator,,SKU-3138
201,"Indesit Company, Whirlpool Corporation",Termogamma,Washer,250W,SKU-24522
202,Whirlpool Corporation,Brastemp,Toaster,,SKU-32064
203,AB Electrolux / Investor AB,REX-Electrolux,Kettle,,SKU-95776
204,AB Electrolux / Investor AB,Tappan,Kettle,500W,SKU91613
205,Gorenj,Atag,Kettle,400W,SKU-29483
206,AB Electrolux / Investor AB,AEG,Dryer,,SKU-60077
207,Arçelik A.Ş. / Koç Holding,Dawlance,Dryer,475W,SKU-67510
208,Candy Group,Iberna,Toaster,425W,SKU-32908
209,"Hotpoint, Whirlpool Corporation",Hotpoint,Dryer,0,SKU-16225
210,AB Electrolux / Investor AB,Fensa,Refrigerator,,SKU-96393
211,Whirlpool Corporation,Whirlpool,Refrigerator,500W,SKU-24541
212,AB Electrolux / Investor AB,Simpson,Freezer,250W,SKU-33187
213,"Sub-Zero Group, Inc",Sub-Zero,Freezer,120W,SKU-47814
214,"Indesit Company, Whirlpool Corporation",Scholtès,Toaster,,SKU-57847
215,Whirlpool Corporation,KitchenAid,Kettle,500W,18972
216,GlenDimplex,Dimplex,Kettle,,SKU-95394
217,Arçelik A.Ş. / Koç Holdin,Arstil,Kettle,500W,SKU-57675
218,AB Electrolux / Investor AB,White-Westinghouse,Stove,300W,SKU-50271
219,Liebherr Group,Liebherr,Dryer,475W,SKU-8013
220,Candy Group,Rosières,Kettle,,SKU-5587
221,Liebherr Group,Liebherr,Dryer,415,SKU-19449
222,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Dish Washer,0,SKU-39287
223,Dayou Winia / Dayou Group,PRAUD,Dryer,0,SKU-96393
224,Samsung Group,Samsung,Freezer,0,SKU-63030
225,Whirlpool Corporation,Diqua,Refrigerator,,SKU-4144
226,Arçelik A.Ş. / Koç Holding,Grundig,Dryer,0,SKU-49349
227,Arçelik A.Ş. / Koç Holding,Grundig,Freezer,0,SKU-40312
228,Viking Range Corporation / The Middleby Corporation,Viking,Dish Washer,,SKU-61259
229,AB Electrolux / Investor AB,Alpeninox,Kettle,250W,SKU-70505
230,"Indesit Company, Whirlpool Corporation",Scholtès,Dryer,0,SKU-42056
231,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Refrigerator,325W,SKU-42872
232,GlenDimplex,Faber,Kettle,,SKU-96174
233,GlenDimplex,Faber,Washer,120W,SKU-20467
234,AB Electrolux / Investor AB,Parkinson Cowan,Stove,0,SKU-39629
235,BSH Hausgeräte GmbH / Robert Bosch GmbH,Coldex,Dish Washer,250W,SKU-80900
236,Whirlpool Corporation,Consul,Freezer,400W,SKU-38189
237,AB Electrolux / Investor AB,Gafa,Kettle,0,SKU-31596
238,AB Electrolux / Investor AB,Tricity Bendix,Stove,475W,SKU-24118
239,Dayou Group,Daewoo,Refrigerator,0,SKU-6125
240,Whirlpool Corporation,Admiral,Freezer,,SKU-70104
241,AB Electrolux / Investor AB,Fensa,Dish Washer,415,SKU-41814
242,AB Electrolux / Investor AB,AEG,Dryer,0,SKU-33150
243,Meneghetti S.p.A,Fulgor Milano,Dryer,500W,SKU-11351
244,AB Electrolux / Investor AB,AEG,Stove,0,SKU-31120
245,BSH Hausgeräte GmbH / Robert Bosch GmbH,Neff,Freezer,120W,SKU-70289
246,Whirlpool Corporation,Indesit Company,Toaster,,SKU-25615
247,Candy Group,Süsler,Kettle,,SKU-89938
248,"LG Electronics, LG Corporation",LG,Kettle,,SKU-64811
249,AB Electrolux / Investor AB,Dometic,Refrigerator,500W,SKU-68204
250,BSH Hausgeräte GmbH / Robert Bosch GmbH,Siemens,Stove,425W,SKU-21374
251,Candy Group,Rosières,Freezer,,SKU-16304
252,Miele & Cie. KG,Miele,Stove,0,SKU-29188
253,Mondragon Corporation,Brandt,Freezer,0,SKU-12472
254,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Toaster,425W,SKU-87524
255,IKEA,IKEA,Kettle,0,SKU-85825
256,Candy Group,Hoover,Stove,,SKU-77701
257,Whirlpool Corporation,Indesit Company,Kettle,120W,SKU-32922
258,De’Longhi S.p.A,DeLonghi,Stove,400W,SKU-9853
259,AB Electrolux / Investor AB,Parkinson Cowan,Washer,475W,SKU-26379
260,AB Electrolux / Investor AB,Electrolux ICON,Stove,425W,SKU-6189
261,Whirlpool Corporation,Consul,Kettle,300W,SKU-69047
262,AB Electrolux / Investor AB,AEG,Washer,0,SKU-62117
263,Amica Wronki S.A,Amica,Washer,400W,SKU-99098
264,Whirlpool Corporation,Roper,Freezer,300W,SKU-93071
265,Liebherr Group,Liebherr,Washer,425W,SKU-38320
266,AB Electrolux / Investor AB,FAure,Freezer,200,SKU-8944
267,AB Electrolux / Investor AB,Castor,Refrigerator,325W,SKU-83672
268,Gorenje,Etna,Washer,475W,SKU-80758
269,Whirlpool Corporation,Roper,Toaster,300W,SKU-56687
270,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Washer,,SKU-29514
271,AB Electrolux / Investor AB,White-Westinghouse,Dish Washer,,SKU-42424
272,GlenDimplex,Campo,Toaster,,SKU-33073
273,Whirlpool Corporation,KitchenAid,Washer,300W,SKU-19346
274,AB Electrolux / Investor AB,Dometic,Washer,415,SKU-65290
275,Candy Group,Otsein Hoover,Dish Washer,0,SKU-88704
276,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Kettle,0,21346
277,Verzinkerei Zug LtdV-ZUG Ltd,V-ZUG,Dryer,0,SKU-19328
278,Arçelik A.Ş. / Koç Holdin,Arstil,Dish Washer,250W,SKU-12038
279,"Indesit Company, Whirlpool Corporation",Termogamma,Dish Washer,0,SKU-36666
280,Whirlpool Corporation,KitchenAid India,Freezer,200,SKU-80214
281,Candy Group,Süsler,Refrigerator,120W,SKU-85345
282,Mondragon Corporation,De Dietrich,Washer,200,SKU-22009
283,GlenDimplex,Campo,Kettle,,SKU-95705
284,Whirlpool Corporation,Acros,Freezer,,SKU-20352
285,Candy Group,Zerowatt,Kettle,475W,SKU-33370
286,AB Electrolux / Investor AB,Philco,Stove,300W,SKU-4441
287,AB Electrolux / Investor AB,Atlas,Refrigerator,,SKU-33675
288,IKEA,IKEA,Refrigerator,,SKU-57848
289,Home Retail Group plc / J Sainsbury plc,Bush,Washer,,SKU-68387
290,Whirlpool Corporation,Gladiator GarageWorks,Refrigerator,0,SKU-26243
291,"LG Electronics, LG Corporation",LG,Washer,,SKU-34667
292,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Dish Washer,,SKU-75061
293,Whirlpool Corporation,Jenn-Air,Dish Washer,,SKU-6983
294,AB Electrolux / Investor A,Chef,Refrigerator,0,SKU-58890
295,Gorenje,Gorenje,Washer,,SKU-44547
296,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Freezer,475W,SKU-38614
297,BSH Hausgeräte GmbH / Robert Bosch GmbH,Siemens,Washer,325W,SKU-8390
298,Candy Group,Iberna,Washer,0,SKU-1479
299,AB Electrolux / Investor AB,Atlas,Refrigerator,0,SKU-5445
300,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Refrigerator,0,SKU-82688
301,Whirlpool Corporation,Roper,Dish Washer,,SKU-42155
302,Mondragon Corporation,De Dietrich,Dryer,0,SKU-51321
303,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Refrigerator,,SKU-93067
304,GlenDimplex,Stoves,Washer,,SKU-14920
305,Arçelik A.Ş. / Koç Holdin,Beko,Washer,0,SKU-16252
306,"Indesit Company, Whirlpool Corporation",Termogamma,Toaster,,SKU-42228
307,AB Electrolux / Investor AB,Prosdócimo,Washer,425W,SKU-13138
308,Currys / Dixons Carphone plc,Logik,Kettle,,SKU-99116
309,Home Retail Group plc / J Sainsbury plc,Bush,Dryer,0,SKU-96499
310,Arçelik A.Ş. / Koç Holding,Altus,Dish Washer,0,SKU-81401
311,Whirlpool Corporation,Amana,Stove,,SKU-30797
312,AB Electrolux / Investor AB,REX-Electrolux,Washer,250W,SKU-20201
313,"Hotpoint, Whirlpool Corporation",Hotpoint,Dish Washer,250W,SKU-29828
314,Arçelik A.Ş. / Koç Holding,Elektra Bregenz,Dish Washer,325W,SKU-35932
315,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Kettle,300W,SKU-94681
316,Whirlpool Corporation,Gladiator GarageWorks,Dish Washer,0,SKU-63095
317,AB Electrolux / Investor AB,AEG,Stove,400W,SKU-76641
318,John Lewis Partnership,John Lewis,Stove,325W,SKU-87749
319,The Middleby Corporation,Marvel,Dish Washer,0,SKU-75662
320,AB Electrolux / Investor AB,Prosdócimo,Refrigerator,415,SKU-4343
321,AB Electrolux / Investor AB,Gafa,Refrigerator,0,SKU-54393
322,IKEA,IKEA,Refrigerator,,SKU-96273
323,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Stove,,SKU-25774
324,"Indesit Company, Whirlpool Corporation",Stinol,Refrigerator,,SKU-90612
325,GlenDimplex,Nobo,Dish Washer,425W,SKU-73418
326,Gorenje,Pelgrim,Refrigerator,300W,SKU-46436
327,GlenDimple,Belling,Stove,425W,SKU-37503
328,AB Electrolux / Investor AB,Philco,Kettle,415,SKU-10239
329,AB Electrolux / Investor AB,Zanker,Toaster,120W,SKU-10043
330,AB Electrolux / Investor AB,Lehel,Refrigerator,0,SKU-30785
331,AB Electrolux / Investor AB,Zanussi,Toaster,120W,SKU-7315
332,AB Electrolux / Investor AB,Atlas,Refrigerator,200,SKU-90917
333,AB Electrolux / Investor AB,Olympic Group,Dryer,0,SKU-68134
334,Fhiaba S.r.l,Fhibia,Freezer,120W,SKU-60153
335,Gorenje,Pelgrim,Refrigerator,120W,SKU-38844
336,Miele & Cie. KG,Miele,Freezer,475W,SKU-6440
337,AB Electrolux / Investor AB,Zanker,Toaster,425W,SKU-31227
338,Whirlpool Corporation,Roper,Stove,300W,SKU-11321
339,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Refrigerator,,SKU-59198
340,Mondragon Corporation,De Dietrich,Kettle,0,SKU-13899
341,"LG Electronics, LG Corporation",LG,Dryer,0,SKU-5678
342,Candy Group,Zerowatt,Dryer,415,SKU-51562
343,AB Electrolux / Investor AB,Fensa,Freezer,,SKU-33689
344,Samsung Group,Samsung,Dryer,300W,SKU-12021
345,Arçelik A.Ş. / Koç Holding,Dawlance,Dryer,,SKU-85614
346,Whirlpool Corporation,Estate,Freezer,0,SKU36470
347,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Washer,0,SKU-46959
348,AB Electrolux / Investor AB,Parkinson Cowan,Stove,,SKU-36081
349,"Indesit Company, Whirlpool Corporation",Scholtès,Dish Washer,,SKU-78442
350,Whirlpool Corporation,Polar,Toaster,500W,SKU-16327
351,"Indesit Company, Whirlpool Corporation",Stinol,Dryer,425W,SKU-11003
352,AB Electrolux / Investor AB,REX-Electrolux,Stove,425W,SKU-8035
353,GlenDimplex,Nobo,Washer,500W,SKU-46135
354,AB Electrolux / Investor AB,Arthur Martin,Dish Washer,400W,SKU-98423
355,Candy Group,Vyatka,Washer,,SKU-30540
356,AB Electrolux / Investor AB,Electrolux,Refrigerator,,SKU-95873
357,GlenDimplex,Technika,Kettle,300W,SKU-53227
358,AB Electrolux / Investor AB,Fensa,Stove,120W,SKU-92937
359,"Hotpoint, Whirlpool Corporation",Hotpoint,Stove,,SKU-2451
360,"Hotpoint, Whirlpool Corporation",Hotpoint,Refrigerator,325W,SKU-56019
361,Candy Group,Zerowatt,Stove,415,SKU-5972
362,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Stove,,SKU-93832
363,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Dish Washer,,SKU-51849
364,AB Electrolux / Investor AB,Zanussi,Refrigerator,,SKU-27809
365,AB Electrolux / Investor AB,Fensa,Toaster,,SKU-26941
366,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Refrigerator,,SKU-67804
367,Arçelik A.Ş. / Koç Holding,Defy,Dryer,,SKU-17342
368,Miele & Cie. KG,Miele,Washer,,SKU-35647
369,AB Electrolux / Investor AB,King,Kettle,425W,SKU-78069
370,"Indesit Company, Whirlpool Corporation",Stinol,Freezer,0,SKU-1314
371,Whirlpool Corporation,Privileg,Freezer,,SKU-7910
372,Gorenje,Pelgrim,Freezer,,SKU-58496
373,AB Electrolux / Investor AB,Electrolux ICON,Washer,200,SKU-15043
374,IKEA,IKEA,Dryer,,SKU-78555
375,Whirlpool Corporation,Consul,Freezer,,SKU-93920
376,Arçelik A.Ş. / Koç Holding,Elektra Bregenz,Refrigerator,475W,SKU-11179
377,Whirlpool Corporation,Brastemp,Toaster,120W,SKU18071
378,Whirlpool Corporation,Gladiator GarageWorks,Freezer,,SKU-35867
379,Candy Group,Zerowatt,Toaster,,SKU-22081
380,AB Electrolux / Investor AB,Elektro Helios,Stove,120W,SKU-15073
